state_fips,year,unemployment_rate,state
31,1987,4.308333333333334,Nebraska
31,1988,3.483333333333333,Nebraska
31,1989,2.8833333333333333,Nebraska
31,1990,2.316666666666667,Nebraska
31,1991,2.6333333333333333,Nebraska
31,1992,2.8166666666666664,Nebraska
31,1993,2.775,Nebraska
31,1994,2.65,Nebraska
31,1995,2.6416666666666666,Nebraska
31,1996,2.7083333333333335,Nebraska
31,1997,2.408333333333333,Nebraska
31,1998,2.533333333333333,Nebraska
31,1999,2.7583333333333333,Nebraska
31,2000,2.8166666666666664,Nebraska
31,2001,3.15,Nebraska
31,2002,3.6666666666666665,Nebraska
31,2003,3.908333333333333,Nebraska
31,2004,3.8833333333333333,Nebraska
31,2005,3.8000000000000003,Nebraska
31,2006,3.0500000000000003,Nebraska
31,2007,2.966666666666667,Nebraska
31,2008,3.233333333333333,Nebraska
31,2009,4.616666666666666,Nebraska
31,2010,4.6499999999999995,Nebraska
31,2011,4.391666666666667,Nebraska
31,2012,3.908333333333333,Nebraska
31,2013,3.7083333333333335,Nebraska
31,2014,3.2416666666666667,Nebraska
31,2015,2.975,Nebraska
31,2016,3.125,Nebraska
31,2017,2.9416666666666664,Nebraska
31,2018,2.908333333333333,Nebraska
31,2019,3.1,Nebraska
31,2020,4.25,Nebraska
31,2021,2.6416666666666666,Nebraska
31,2022,2.183333333333333,Nebraska
31,2023,2.308333333333333,Nebraska
31,2024,2.75,Nebraska
31,2025,3.027272727272727,Nebraska
32,1976,8.858333333333333,Nevada
32,1977,6.8500000000000005,Nevada
32,1978,4.441666666666666,Nevada
32,1979,4.933333333333334,Nevada
32,1980,6.325,Nevada
32,1981,7.341666666666666,Nevada
32,1982,9.950000000000001,Nevada
32,1983,9.825000000000001,Nevada
32,1984,7.7,Nevada
32,1985,7.541666666666667,Nevada
32,1986,6.316666666666666,Nevada
32,1987,6.216666666666666,Nevada
32,1988,5.216666666666667,Nevada
32,1989,4.7,Nevada
32,1990,4.791666666666667,Nevada
32,1991,5.833333333333333,Nevada
32,1992,6.758333333333333,Nevada
32,1993,6.875,Nevada
32,1994,6.258333333333333,Nevada
32,1995,5.566666666666666,Nevada
32,1996,5.1000000000000005,Nevada
32,1997,4.3999999999999995,Nevada
32,1998,4.175,Nevada
32,1999,4.05,Nevada
32,2000,4.158333333333333,Nevada
32,2001,5.125,Nevada
32,2002,5.625,Nevada
32,2003,5.216666666666667,Nevada
32,2004,4.45,Nevada
32,2005,4.208333333333333,Nevada
32,2006,4.141666666666667,Nevada
32,2007,4.766666666666667,Nevada
32,2008,6.883333333333333,Nevada
32,2009,11.083333333333334,Nevada
32,2010,13.275,Nevada
32,2011,12.975,Nevada
32,2012,11.5,Nevada
32,2013,9.966666666666667,Nevada
32,2014,8.200000000000001,Nevada
32,2015,6.8999999999999995,Nevada
32,2016,5.825,Nevada
32,2017,5.016666666666667,Nevada
32,2018,4.408333333333333,Nevada
32,2019,4.141666666666667,Nevada
32,2020,13.691666666666668,Nevada
32,2021,6.808333333333334,Nevada
32,2022,5.208333333333333,Nevada
32,2023,5.141666666666667,Nevada
32,2024,5.566666666666666,Nevada
32,2025,5.372727272727273,Nevada
33,1976,6.441666666666666,New Hampshire
33,1977,5.566666666666666,New Hampshire
33,1978,3.8249999999999997,New Hampshire
33,1979,3.158333333333333,New Hampshire
33,1980,4.5,New Hampshire
33,1981,5.066666666666666,New Hampshire
33,1982,6.8500000000000005,New Hampshire
33,1983,5.4750000000000005,New Hampshire
33,1984,4.2250000000000005,New Hampshire
33,1985,3.6833333333333336,New Hampshire
33,1986,2.6416666666666666,New Hampshire
33,1987,2.2416666666666667,New Hampshire
33,1988,2.375,New Hampshire
33,1989,3.375,New Hampshire
33,1990,5.266666666666667,New Hampshire
33,1991,6.758333333333333,New Hampshire
33,1992,7.283333333333334,New Hampshire
33,1993,6.133333333333333,New Hampshire
33,1994,4.5249999999999995,New Hampshire
33,1995,3.8249999999999997,New Hampshire
33,1996,3.775,New Hampshire
33,1997,3.358333333333333,New Hampshire
33,1998,2.841666666666667,New Hampshire
33,1999,2.725,New Hampshire
33,2000,2.6583333333333337,New Hampshire
33,2001,3.4250000000000003,New Hampshire
33,2002,4.491666666666666,New Hampshire
33,2003,4.433333333333334,New Hampshire
33,2004,3.808333333333333,New Hampshire
33,2005,3.65,New Hampshire
33,2006,3.5,New Hampshire
33,2007,3.525,New Hampshire
33,2008,3.7583333333333333,New Hampshire
33,2009,6.058333333333334,New Hampshire
33,2010,6.058333333333334,New Hampshire
33,2011,5.483333333333333,New Hampshire
33,2012,5.4750000000000005,New Hampshire
33,2013,5.258333333333334,New Hampshire
33,2014,4.3,New Hampshire
33,2015,3.408333333333333,New Hampshire
33,2016,2.8666666666666667,New Hampshire
33,2017,2.8083333333333336,New Hampshire
33,2018,2.625,New Hampshire
33,2019,2.558333333333333,New Hampshire
33,2020,6.75,New Hampshire
33,2021,3.475,New Hampshire
33,2022,2.441666666666667,New Hampshire
33,2023,2.2333333333333334,New Hampshire
33,2024,2.6,New Hampshire
33,2025,3.1090909090909093,New Hampshire
34,1976,10.391666666666667,New Jersey
34,1977,9.358333333333333,New Jersey
34,1978,7.266666666666667,New Jersey
34,1979,6.841666666666666,New Jersey
34,1980,7.1000000000000005,New Jersey
34,1981,7.5,New Jersey
34,1982,8.758333333333333,New Jersey
34,1983,8.266666666666667,New Jersey
34,1984,6.3,New Jersey
34,1985,5.633333333333333,New Jersey
34,1986,5.041666666666667,New Jersey
34,1987,4.066666666666666,New Jersey
34,1988,3.7583333333333333,New Jersey
34,1989,4.05,New Jersey
34,1990,5.066666666666666,New Jersey
34,1991,6.766666666666667,New Jersey
34,1992,8.541666666666666,New Jersey
34,1993,7.766666666666667,New Jersey
34,1994,6.866666666666667,New Jersey
34,1995,6.3999999999999995,New Jersey
34,1996,6.133333333333333,New Jersey
34,1997,5.325,New Jersey
34,1998,4.591666666666667,New Jersey
34,1999,4.441666666666666,New Jersey
34,2000,3.6666666666666665,New Jersey
34,2001,4.2250000000000005,New Jersey
34,2002,5.7749999999999995,New Jersey
34,2003,5.833333333333333,New Jersey
34,2004,4.925,New Jersey
34,2005,4.441666666666666,New Jersey
34,2006,4.675,New Jersey
34,2007,4.208333333333333,New Jersey
34,2008,5.3999999999999995,New Jersey
34,2009,8.85,New Jersey
34,2010,9.683333333333334,New Jersey
34,2011,9.408333333333333,New Jersey
34,2012,9.45,New Jersey
34,2013,8.4,New Jersey
34,2014,6.7,New Jersey
34,2015,5.7250000000000005,New Jersey
34,2016,4.95,New Jersey
34,2017,4.516666666666667,New Jersey
34,2018,4.008333333333334,New Jersey
34,2019,3.475,New Jersey
34,2020,9.491666666666667,New Jersey
34,2021,6.708333333333333,New Jersey
34,2022,3.85,New Jersey
34,2023,4.25,New Jersey
34,2024,4.533333333333333,New Jersey
34,2025,5.0636363636363635,New Jersey
35,1976,8.716666666666667,New Mexico
35,1977,7.7250000000000005,New Mexico
35,1978,6.158333333333334,New Mexico
35,1979,6.616666666666667,New Mexico
35,1980,7.55,New Mexico
35,1981,7.2250000000000005,New Mexico
35,1982,9.008333333333333,New Mexico
35,1983,9.791666666666666,New Mexico
35,1984,7.683333333333334,New Mexico
35,1985,8.658333333333333,New Mexico
35,1986,9.216666666666667,New Mexico
35,1987,8.966666666666667,New Mexico
35,1988,7.6000000000000005,New Mexico
35,1989,6.741666666666667,New Mexico
35,1990,6.6499999999999995,New Mexico
35,1991,7.258333333333333,New Mexico
35,1992,7.325,New Mexico
35,1993,7.316666666666666,New Mexico
35,1994,6.516666666666667,New Mexico
35,1995,6.616666666666667,New Mexico
35,1996,7.55,New Mexico
35,1997,6.416666666666667,New Mexico
35,1998,6.258333333333333,New Mexico
35,1999,5.6000000000000005,New Mexico
35,2000,5.008333333333334,New Mexico
35,2001,4.941666666666667,New Mexico
35,2002,5.491666666666667,New Mexico
35,2003,5.916666666666667,New Mexico
35,2004,5.608333333333333,New Mexico
35,2005,5.208333333333333,New Mexico
35,2006,4.216666666666667,New Mexico
35,2007,3.5500000000000003,New Mexico
35,2008,4.375,New Mexico
35,2009,7.05,New Mexico
35,2010,7.841666666666666,New Mexico
35,2011,7.208333333333333,New Mexico
35,2012,6.941666666666666,New Mexico
35,2013,6.883333333333333,New Mexico
35,2014,6.55,New Mexico
35,2015,6.616666666666667,New Mexico
35,2016,6.758333333333333,New Mexico
35,2017,6.116666666666667,New Mexico
35,2018,4.95,New Mexico
35,2019,4.991666666666666,New Mexico
35,2020,7.925,New Mexico
35,2021,7.075,New Mexico
35,2022,4.075,New Mexico
35,2023,3.6666666666666665,New Mexico
35,2024,4.125,New Mexico
35,2025,4.3,New Mexico
36,1976,10.216666666666667,New York
36,1977,9.166666666666666,New York
36,1978,7.691666666666666,New York
36,1979,7.066666666666666,New York
36,1980,7.425,New York
36,1981,7.6000000000000005,New York
36,1982,8.708333333333334,New York
36,1983,8.933333333333334,New York
36,1984,7.266666666666667,New York
36,1985,6.641666666666667,New York
36,1986,6.208333333333333,New York
36,1987,4.8,New York
36,1988,4.208333333333333,New York
36,1989,4.841666666666666,New York
36,1990,5.308333333333334,New York
36,1991,7.325,New York
36,1992,8.725,New York
36,1993,7.966666666666666,New York
36,1994,6.933333333333334,New York
36,1995,6.333333333333333,New York
36,1996,6.25,New York
36,1997,6.416666666666667,New York
36,1998,5.6000000000000005,New York
36,1999,5.175,New York
36,2000,4.508333333333334,New York
36,2001,4.875,New York
36,2002,6.191666666666666,New York
36,2003,6.3999999999999995,New York
36,2004,5.841666666666666,New York
36,2005,4.958333333333333,New York
36,2006,4.458333333333333,New York
36,2007,4.408333333333333,New York
36,2008,5.358333333333333,New York
36,2009,8.416666666666666,New York
36,2010,8.741666666666667,New York
36,2011,8.366666666666667,New York
36,2012,8.641666666666667,New York
36,2013,7.841666666666666,New York
36,2014,6.283333333333334,New York
36,2015,5.2250000000000005,New York
36,2016,4.875,New York
